open,high,low,close,volume,vwap,timestamp,transactions,otc
53.01,53.01,53.01,53.01,1005,53.0112,2020-02-13 09:00:00,2,
53.23,53.3,53.23,53.3,5100,53.2944,2020-02-13 09:06:00,14,
53.29,53.29,53.29,53.29,688,53.2877,2020-02-13 09:08:00,3,
53.29,53.3,53.2,53.2,5993,53.285,2020-02-13 09:09:00,11,
53.22,53.27,53.2,53.2,2500,53.2445,2020-02-13 09:11:00,9,
53.22,53.22,53.22,53.22,1024,53.22,2020-02-13 09:17:00,3,
53.21,53.21,53.19,53.19,1080,53.2026,2020-02-13 09:19:00,6,
53.18,53.18,53.18,53.18,354,53.1807,2020-02-13 09:20:00,3,
53.19,53.31,53.19,53.31,859,53.2103,2020-02-13 09:21:00,7,
53.24,53.3,53.24,53.28,500,53.262,2020-02-13 09:22:00,7,
53.26,53.26,53.19,53.19,346,53.2131,2020-02-13 09:23:00,5,
53.22,53.22,53.22,53.22,267,53.2175,2020-02-13 09:24:00,5,
53.22,53.22,53.15,53.15,1099,53.1773,2020-02-13 09:25:00,7,
53.16,53.16,53.15,53.15,500,53.152,2020-02-13 09:26:00,2,
53.18,53.18,53.17,53.17,540,53.1744,2020-02-13 09:27:00,10,
53.13,53.13,53.04,53.04,1956,53.0675,2020-02-13 09:28:00,17,
53.02,53.02,53.02,53.02,150,53.0233,2020-02-13 09:29:00,2,
53.05,53.05,53.05,53.05,2850,53.0511,2020-02-13 09:36:00,11,
53.05,53.05,53.05,53.05,1901,53.05,2020-02-13 09:37:00,10,
53.02,53.05,53.02,53.05,1355,53.041,2020-02-13 09:38:00,13,
53.05,53.05,53.05,53.05,1000,53.05,2020-02-13 09:39:00,5,
53.05,53.05,52.96,52.96,1101,53.0014,2020-02-13 09:40:00,13,
53.0,53.0,53.0,53.0,571,52.9943,2020-02-13 09:41:00,7,
53.05,53.05,53.01,53.01,1500,53.0233,2020-02-13 09:44:00,4,
53.01,53.01,53.01,53.01,390,53.0142,2020-02-13 09:45:00,3,
53.05,53.05,53.05,53.05,200,53.05,2020-02-13 09:46:00,3,
53.04,53.04,53.01,53.01,692,53.0249,2020-02-13 09:47:00,8,
53.01,53.01,53.0,53.0,800,53.0056,2020-02-13 09:51:00,3,
53.0,53.0,53.0,53.0,289,53.0,2020-02-13 09:54:00,2,
53.01,53.01,53.0,53.0,2262,53.006,2020-02-13 09:57:00,4,
53.0,53.0,53.0,53.0,335,52.994,2020-02-13 09:58:00,2,
53.0,53.0,53.0,53.0,241,53.0012,2020-02-13 10:01:00,4,
53.0,53.0,53.0,53.0,550,53.0,2020-02-13 10:02:00,3,
53.0,53.0,53.0,53.0,381,53.0,2020-02-13 10:03:00,2,
52.95,52.95,52.95,52.95,173,52.941,2020-02-13 10:05:00,5,
52.96,52.96,52.81,52.81,1766,52.8339,2020-02-13 10:09:00,15,
52.91,52.91,52.91,52.91,141,52.8926,2020-02-13 10:10:00,3,
52.75,52.75,52.75,52.75,300,52.7635,2020-02-13 10:11:00,5,
52.9,52.9,52.9,52.9,192,52.924,2020-02-13 10:17:00,2,
52.9,52.9,52.9,52.9,165,52.9,2020-02-13 10:19:00,2,
52.96,52.96,52.96,52.96,351,52.9577,2020-02-13 10:24:00,5,
53.04,53.04,53.04,53.04,410,53.04,2020-02-13 10:26:00,4,
53.04,53.04,53.04,53.04,680,53.04,2020-02-13 10:27:00,3,
53.04,53.04,53.0,53.0,1590,53.0094,2020-02-13 10:28:00,8,
53.0,53.0,52.99,52.99,458,52.9966,2020-02-13 10:29:00,5,
53.05,53.05,53.05,53.05,200,53.05,2020-02-13 10:31:00,2,
53.0,53.0,53.0,53.0,1000,53.0,2020-02-13 10:33:00,2,
52.92,52.92,52.92,52.92,101,52.9208,2020-02-13 10:36:00,2,
52.95,52.95,52.95,52.95,205,52.951,2020-02-13 10:37:00,4,
52.98,52.98,52.98,52.98,200,52.98,2020-02-13 10:43:00,2,
52.9,52.9,52.9,52.9,403,52.9005,2020-02-13 10:47:00,2,
53.03,53.03,53.03,53.03,610,53.0287,2020-02-13 10:55:00,2,
53.04,53.04,53.04,53.04,650,53.0369,2020-02-13 11:00:00,2,
53.04,53.04,53.04,53.04,101,53.04,2020-02-13 11:04:00,1,
53.0,53.0,53.0,53.0,100,53.0,2020-02-13 11:12:00,1,
52.9,52.9,52.9,52.9,477,52.9,2020-02-13 11:33:00,1,
52.9,52.9,52.9,52.9,100,52.9,2020-02-13 11:36:00,1,
53.0,53.1,53.0,53.1,784,53.0255,2020-02-13 11:38:00,11,
53.13,53.13,53.13,53.13,200,53.1394,2020-02-13 11:42:00,3,
53.17,53.17,53.16,53.17,779,53.1733,2020-02-13 11:46:00,9,
53.2,53.2,53.15,53.2,610,53.1909,2020-02-13 11:47:00,7,
53.1,53.2,53.1,53.2,614,53.1191,2020-02-13 11:48:00,8,
53.15,53.3,53.15,53.3,2214,53.2009,2020-02-13 11:51:00,25,
53.3,53.32,53.28,53.32,1950,53.301,2020-02-13 11:52:00,5,
53.23,53.23,53.23,53.23,200,53.23,2020-02-13 11:53:00,1,
53.2,53.2,53.2,53.2,400,53.2,2020-02-13 11:56:00,1,
53.15,53.15,53.15,53.15,200,53.15,2020-02-13 11:58:00,3,
53.22,53.22,53.22,53.22,500,53.22,2020-02-13 11:59:00,1,
53.16,53.26,53.15,53.25,5690,53.1979,2020-02-13 12:00:00,44,
53.22,53.25,53.22,53.25,5283,53.2477,2020-02-13 12:01:00,25,
53.28,53.29,53.25,53.29,2767,53.2685,2020-02-13 12:02:00,18,
53.26,53.32,53.26,53.32,3117,53.2979,2020-02-13 12:03:00,29,
53.32,53.34,53.3,53.3,1687,53.3202,2020-02-13 12:04:00,25,
53.3,53.34,53.27,53.3,5102,53.291,2020-02-13 12:05:00,28,
53.32,53.32,53.3,53.3,9341,53.3004,2020-02-13 12:06:00,6,
53.3,53.3,53.3,53.3,349,53.3,2020-02-13 12:07:00,5,
53.3,53.3,53.3,53.3,1188,53.3,2020-02-13 12:08:00,7,
53.31,53.32,53.31,53.31,1504,53.3178,2020-02-13 12:09:00,9,
53.32,53.32,53.29,53.29,2950,53.2993,2020-02-13 12:10:00,11,
53.27,53.28,53.17,53.17,4493,53.2293,2020-02-13 12:11:00,26,
53.17,53.19,53.15,53.19,1202,53.1633,2020-02-13 12:12:00,12,
53.17,53.17,53.11,53.11,6387,53.1476,2020-02-13 12:13:00,26,
53.15,53.16,53.15,53.16,2000,53.1505,2020-02-13 12:14:00,4,
53.15,53.15,53.12,53.12,6099,53.1362,2020-02-13 12:15:00,16,
53.15,53.15,53.14,53.15,2750,53.1496,2020-02-13 12:16:00,12,
53.15,53.15,53.13,53.15,4679,53.1482,2020-02-13 12:17:00,21,
53.15,53.16,53.15,53.16,1552,53.1539,2020-02-13 12:18:00,10,
53.17,53.18,53.14,53.14,2550,53.1615,2020-02-13 12:19:00,10,
53.13,53.16,53.12,53.16,1030,53.1405,2020-02-13 12:20:00,8,
53.19,53.2,53.19,53.2,3738,53.1979,2020-02-13 12:21:00,11,
53.24,53.24,53.24,53.24,1000,53.2394,2020-02-13 12:22:00,9,
53.27,53.27,53.25,53.25,1100,53.2603,2020-02-13 12:23:00,11,
53.24,53.24,53.12,53.13,4155,53.1724,2020-02-13 12:24:00,22,
53.11,53.11,53.1,53.1,10800,53.1056,2020-02-13 12:25:00,20,
53.12,53.14,53.12,53.14,1031,53.1324,2020-02-13 12:26:00,6,
53.14,53.14,53.1,53.1,1507,53.1111,2020-02-13 12:27:00,8,
53.1,53.1,53.1,53.1,350,53.1048,2020-02-13 12:30:00,5,
53.15,53.15,53.15,53.15,3532,53.15,2020-02-13 12:31:00,13,
53.15,53.15,53.15,53.15,394,53.1706,2020-02-13 12:32:00,9,
53.15,53.2,53.15,53.17,1113,53.1864,2020-02-13 12:33:00,10,
53.2,53.2,53.17,53.17,507,53.1822,2020-02-13 12:34:00,4,
53.19,53.19,53.19,53.19,635,53.19,2020-02-13 12:35:00,4,
53.19,53.19,53.19,53.19,261,53.1928,2020-02-13 12:36:00,6,
53.17,53.17,53.15,53.15,1720,53.1526,2020-02-13 12:37:00,6,
53.15,53.15,53.15,53.15,2471,53.1503,2020-02-13 12:38:00,16,
53.12,53.12,53.12,53.12,233,53.1295,2020-02-13 12:39:00,3,
53.16,53.16,53.16,53.16,225,53.1566,2020-02-13 12:40:00,5,
53.15,53.15,53.15,53.15,249,53.1504,2020-02-13 12:42:00,5,
53.15,53.17,53.15,53.17,804,53.1568,2020-02-13 12:43:00,6,
53.15,53.15,53.15,53.15,3427,53.1503,2020-02-13 12:46:00,15,
53.12,53.12,53.07,53.07,3765,53.0946,2020-02-13 12:47:00,15,
53.07,53.07,52.95,52.95,31686,53.0317,2020-02-13 12:48:00,67,
52.96,52.96,52.95,52.95,2134,52.9512,2020-02-13 12:50:00,7,
52.96,53.0,52.96,53.0,4422,52.9906,2020-02-13 12:51:00,20,
53.04,53.08,53.04,53.08,1021,53.0465,2020-02-13 12:52:00,15,
53.05,53.05,53.04,53.04,845,53.0513,2020-02-13 12:53:00,10,
