open,high,low,close,volume,vwap,timestamp,transactions,otc
424.09,424.28,423.41,424.2343,65755,423.5728,2024-01-02 14:30:00,747,
423.96,423.96,423.05,423.06,4016,423.4935,2024-01-02 14:31:00,139,
423.51,423.56,423.085,423.14,8334,423.3525,2024-01-02 14:32:00,275,
422.785,423.18,422.785,423.125,6871,423.0708,2024-01-02 14:33:00,177,
423.0347,423.47,423.0347,423.43,5455,423.3299,2024-01-02 14:34:00,212,
423.25,423.63,422.72,422.72,5354,423.2851,2024-01-02 14:35:00,204,
422.86,423.28,422.6,423.17,10387,422.8566,2024-01-02 14:36:00,216,
423.14,423.14,422.565,422.58,3368,422.8289,2024-01-02 14:37:00,208,
422.555,422.555,421.99,421.99,4339,422.2758,2024-01-02 14:38:00,253,
421.99,422.38,421.89,422.38,5290,422.1165,2024-01-02 14:39:00,232,
422.63,422.63,422.325,422.48,4166,422.4556,2024-01-02 14:40:00,188,
422.38,422.38,422.175,422.19,3437,422.2447,2024-01-02 14:41:00,135,
422.0,422.32,421.95,422.09,4161,422.1188,2024-01-02 14:42:00,166,
422.49,422.64,422.365,422.4183,3039,422.4481,2024-01-02 14:43:00,138,
422.66,422.75,422.54,422.57,3632,422.5995,2024-01-02 14:44:00,161,
422.4943,422.4943,422.245,422.32,6477,422.3237,2024-01-02 14:45:00,206,
422.48,422.955,422.38,422.955,5331,422.6433,2024-01-02 14:46:00,198,
422.945,422.945,422.4749,422.55,4123,422.8307,2024-01-02 14:47:00,138,
422.55,422.55,422.0,422.0,3724,422.2853,2024-01-02 14:48:00,164,
421.97,422.12,421.82,421.82,2919,422.0047,2024-01-02 14:49:00,179,
421.87,422.18,421.7,422.18,5797,421.9069,2024-01-02 14:50:00,231,
422.18,422.63,422.18,422.63,4074,422.3716,2024-01-02 14:51:00,151,
422.64,422.64,422.5,422.525,2331,422.558,2024-01-02 14:52:00,107,
422.63,422.63,422.17,422.17,1757,422.4222,2024-01-02 14:53:00,160,
422.16,422.25,422.0815,422.0815,2373,422.147,2024-01-02 14:54:00,126,
422.2418,422.25,421.86,421.91,4381,422.0233,2024-01-02 14:55:00,183,
421.9,421.97,421.75,421.75,5794,421.8896,2024-01-02 14:56:00,185,
421.875,422.05,421.87,421.8777,9583,421.9416,2024-01-02 14:57:00,246,
422.03,422.2475,421.81,422.2475,9943,421.9925,2024-01-02 14:58:00,247,
422.17,422.26,422.0,422.26,2986,422.1129,2024-01-02 14:59:00,110,
422.26,422.26,421.97,421.97,7000,422.1408,2024-01-02 15:00:00,317,
421.7725,421.815,421.555,421.64,5157,421.6824,2024-01-02 15:01:00,194,
421.85,421.85,421.71,421.844,2872,421.806,2024-01-02 15:02:00,105,
421.84,422.005,421.81,421.915,4516,421.9339,2024-01-02 15:03:00,164,
421.83,422.06,421.765,421.765,3254,421.9075,2024-01-02 15:04:00,135,
421.71,421.765,421.3,421.36,3379,421.6335,2024-01-02 15:05:00,158,
421.2,421.335,420.96,421.065,4554,421.0663,2024-01-02 15:06:00,185,
421.17,421.22,420.945,421.045,7629,421.3036,2024-01-02 15:07:00,178,
421.04,421.04,420.88,420.88,1441,420.9769,2024-01-02 15:08:00,87,
421.065,421.41,421.06,421.35,2789,421.2318,2024-01-02 15:09:00,130,
421.4581,421.95,421.45,421.62,4459,421.6057,2024-01-02 15:10:00,148,
421.475,421.69,421.47,421.685,5852,421.5121,2024-01-02 15:11:00,148,
421.66,421.9,421.66,421.9,2155,421.7626,2024-01-02 15:12:00,87,
422.07,422.25,422.07,422.14,2511,422.1281,2024-01-02 15:13:00,89,
422.04,422.11,421.97,422.06,2949,422.0166,2024-01-02 15:14:00,88,
422.105,422.105,421.89,421.89,2396,422.0003,2024-01-02 15:15:00,81,
421.955,422.0,421.82,421.96,2413,421.9206,2024-01-02 15:16:00,116,
421.92,422.105,421.34,421.685,17763,421.6493,2024-01-02 15:17:00,469,
421.745,421.83,421.71,421.82,10383,421.7722,2024-01-02 15:18:00,206,
421.84,422.11,421.78,421.78,4864,421.9227,2024-01-02 15:19:00,139,
421.74,422.1,421.705,422.1,2022,421.8917,2024-01-02 15:20:00,99,
422.1,422.2085,422.0,422.2085,3464,422.0599,2024-01-02 15:21:00,147,
422.18,422.18,421.925,421.925,2419,422.0872,2024-01-02 15:22:00,87,
421.91,422.06,421.83,421.95,3550,421.9807,2024-01-02 15:23:00,147,
422.03,422.03,421.43,421.43,5175,421.7055,2024-01-02 15:24:00,173,
421.42,421.655,421.42,421.65,2257,421.6508,2024-01-02 15:25:00,85,
421.65,421.65,421.355,421.4,1547,421.421,2024-01-02 15:26:00,105,
421.46,421.4875,421.29,421.355,2248,421.4072,2024-01-02 15:27:00,121,
421.29,421.29,421.0,421.0,2978,421.1433,2024-01-02 15:28:00,152,
420.94,421.27,420.94,421.11,2243,421.1543,2024-01-02 15:29:00,135,
421.01,421.01,421.0,421.0,1288,421.1222,2024-01-02 15:30:00,67,
421.065,421.15,421.0302,421.0302,1717,421.1058,2024-01-02 15:31:00,72,
