open,high,low,close,volume,vwap,timestamp,transactions,otc
280.05,280.05,279.97,279.97,1210,280.0301,2024-03-11 11:53:00,44,
279.5,279.5,279.5,279.5,282,279.5283,2024-03-11 12:00:00,23,
280.36,280.36,280.36,280.36,100,280.36,2024-03-11 12:09:00,1,
279.79,279.79,279.79,279.79,100,279.79,2024-03-11 12:12:00,1,
280.0,280.0,280.0,280.0,410,280.0051,2024-03-11 12:34:00,8,
279.9,279.9,279.9,279.9,225,279.9033,2024-03-11 12:36:00,4,
279.83,279.83,279.83,279.83,400,279.8322,2024-03-11 12:45:00,9,
279.98,279.98,279.98,279.98,100,279.98,2024-03-11 13:25:00,1,
279.45,279.96,278.935,278.9701,80630,279.4403,2024-03-11 13:30:00,1349,
279.07,280.1565,279.07,280.13,14030,279.6623,2024-03-11 13:31:00,399,
280.04,280.23,279.92,280.0059,10977,280.0789,2024-03-11 13:32:00,262,
279.96,279.96,279.54,279.625,9339,279.7035,2024-03-11 13:33:00,238,
279.625,279.87,279.57,279.615,5075,279.7634,2024-03-11 13:34:00,154,
279.5896,279.81,279.585,279.605,7439,279.6999,2024-03-11 13:35:00,230,
279.65,279.82,279.6,279.68,15031,279.7191,2024-03-11 13:36:00,342,
279.67,279.905,279.615,279.82,8794,279.7634,2024-03-11 13:37:00,252,
279.85,279.85,279.56,279.56,4028,279.7151,2024-03-11 13:38:00,123,
279.54,279.59,279.295,279.295,10074,279.5259,2024-03-11 13:39:00,260,
279.36,279.61,279.31,279.46,9476,279.4289,2024-03-11 13:40:00,256,
279.465,279.51,279.31,279.31,11669,279.4262,2024-03-11 13:41:00,278,
279.27,279.27,279.05,279.26,6275,279.1666,2024-03-11 13:42:00,193,
279.27,279.48,279.27,279.31,7950,279.3788,2024-03-11 13:43:00,217,
279.36,279.36,278.93,278.93,17616,279.0956,2024-03-11 13:44:00,330,
279.0,279.05,278.6365,278.97,18434,278.8689,2024-03-11 13:45:00,463,
279.0,279.03,278.92,278.945,17560,278.9915,2024-03-11 13:46:00,351,
278.91,278.92,278.64,278.66,9626,278.7614,2024-03-11 13:47:00,291,
278.65,278.89,278.65,278.865,10493,278.8347,2024-03-11 13:48:00,289,
278.85,278.98,278.81,278.93,6777,278.8933,2024-03-11 13:49:00,197,
278.98,279.06,278.87,279.0,13172,278.9757,2024-03-11 13:50:00,309,
279.005,279.07,278.93,278.98,6071,278.9811,2024-03-11 13:51:00,206,
278.86,278.87,278.75,278.87,7897,278.8141,2024-03-11 13:52:00,240,
278.91,279.01,278.9,278.96,8897,278.9587,2024-03-11 13:53:00,282,
278.94,278.94,278.76,278.8,8807,278.8326,2024-03-11 13:54:00,215,
278.8299,278.95,278.8299,278.88,6297,278.9009,2024-03-11 13:55:00,240,
278.9,278.9399,278.85,278.93,9273,278.8837,2024-03-11 13:56:00,252,
278.87,278.97,278.85,278.935,6520,278.8981,2024-03-11 13:57:00,190,
278.965,279.04,278.95,279.0,15127,278.9981,2024-03-11 13:58:00,365,
278.98,279.049999,278.82,278.97,14736,278.9853,2024-03-11 13:59:00,304,
278.96,278.96,278.809,278.809,5031,278.9224,2024-03-11 14:00:00,221,
278.8,278.99,278.8,278.925,9456,278.9008,2024-03-11 14:01:00,287,
278.94,279.02,278.83,278.85,12733,278.9473,2024-03-11 14:02:00,374,
278.84,279.02,278.84,278.96,5737,278.9666,2024-03-11 14:03:00,201,
278.95,279.04,278.8387,279.0398,4576,278.9614,2024-03-11 14:04:00,200,
279.04,279.05,278.79,278.79,7849,278.9256,2024-03-11 14:05:00,251,
278.805,278.84,278.7,278.72,6098,278.7973,2024-03-11 14:06:00,199,
278.7001,278.73,278.66,278.705,6921,278.7058,2024-03-11 14:07:00,194,
278.695,278.73,278.56,278.6,4755,278.638,2024-03-11 14:08:00,189,
278.64,278.705,278.55,278.705,7441,278.6411,2024-03-11 14:09:00,210,
278.705,278.79,278.5363,278.6,10963,278.6861,2024-03-11 14:10:00,287,
278.54,278.56,278.48,278.53,4756,278.5352,2024-03-11 14:11:00,210,
278.5,278.56,278.42,278.485,5596,278.4831,2024-03-11 14:12:00,196,
278.44,278.54,278.395,278.54,10409,278.459,2024-03-11 14:13:00,257,
278.55,278.59,278.4883,278.57,5286,278.5498,2024-03-11 14:14:00,142,
278.58,278.64,278.58,278.61,4310,278.613,2024-03-11 14:15:00,142,
278.6,278.68,278.59,278.66,6457,278.644,2024-03-11 14:16:00,145,
278.6376,278.775,278.6376,278.76,4591,278.7238,2024-03-11 14:17:00,149,
278.76,278.85,278.76,278.85,6991,278.8085,2024-03-11 14:18:00,189,
278.89,278.94,278.78,278.875,10071,278.8807,2024-03-11 14:19:00,190,
278.87,278.87,278.78,278.85,4081,278.8364,2024-03-11 14:20:00,168,
278.85,278.89,278.72,278.72,7568,278.8014,2024-03-11 14:21:00,174,
278.73,278.73,278.6475,278.6641,5142,278.682,2024-03-11 14:22:00,160,
278.64,278.675,278.48,278.52,7962,278.5598,2024-03-11 14:23:00,137,
278.52,278.545,278.44,278.46,7838,278.5395,2024-03-11 14:24:00,182,
278.48,278.51,278.38,278.39,6519,278.4303,2024-03-11 14:25:00,195,
278.41,278.44,278.06,278.08,10454,278.2231,2024-03-11 14:26:00,196,
278.12,278.18,278.0,278.0138,15668,278.1018,2024-03-11 14:27:00,380,
278.06,278.12,277.99,278.12,10057,278.0502,2024-03-11 14:28:00,232,
278.115,278.39,278.115,278.39,6281,278.2772,2024-03-11 14:29:00,191,
278.375,278.52,278.36,278.52,5522,278.4193,2024-03-11 14:30:00,186,
278.585,278.6,278.4544,278.52,7250,278.553,2024-03-11 14:31:00,177,
278.58,278.65,278.4625,278.59,9988,278.564,2024-03-11 14:32:00,239,
278.56,278.5999,278.46,278.48,5802,278.5319,2024-03-11 14:33:00,125,
278.54,278.63,278.51,278.5275,11187,278.5332,2024-03-11 14:34:00,209,
278.58,278.6,278.51,278.56,8460,278.5559,2024-03-11 14:35:00,230,
278.55,278.59,278.46,278.53,4833,278.526,2024-03-11 14:36:00,166,
278.56,278.7,278.55,278.6487,9141,278.6327,2024-03-11 14:37:00,222,
278.695,278.74,278.58,278.74,6613,278.6593,2024-03-11 14:38:00,205,
278.67,278.72,278.44,278.44,9301,278.5819,2024-03-11 14:39:00,212,
278.42,278.55,278.39,278.5154,8337,278.4782,2024-03-11 14:40:00,246,
278.52,278.66,278.47,278.66,6366,278.563,2024-03-11 14:41:00,206,
278.67,278.79,278.665,278.74,5501,278.7183,2024-03-11 14:42:00,164,
278.7,278.79,278.69,278.76,5067,278.7474,2024-03-11 14:43:00,140,
278.75,278.79,278.62,278.62,4229,278.7104,2024-03-11 14:44:00,140,
278.6,278.74,278.57,278.71,5641,278.6475,2024-03-11 14:45:00,160,
278.63,278.74,278.63,278.67,4783,278.6813,2024-03-11 14:46:00,140,
278.68,278.68,278.61,278.65,3194,278.6478,2024-03-11 14:47:00,115,
278.64,278.64,278.49,278.59,5922,278.5637,2024-03-11 14:48:00,154,
278.58,278.58,278.425,278.475,8206,278.4772,2024-03-11 14:49:00,183,
278.46,278.63,278.42,278.63,9193,278.5165,2024-03-11 14:50:00,206,
278.59,278.78,278.59,278.77,5805,278.6645,2024-03-11 14:51:00,140,
278.78,278.84,278.73,278.82,6613,278.7707,2024-03-11 14:52:00,171,
278.835,278.84,278.68,278.84,5940,278.7692,2024-03-11 14:53:00,130,
278.815,279.05,278.815,279.02,11860,278.9621,2024-03-11 14:54:00,173,
279.06,279.21,279.06,279.13,9873,279.1277,2024-03-11 14:55:00,205,
279.13,279.16,278.935,278.98,9494,279.0327,2024-03-11 14:56:00,214,
279.01,279.052,278.93,278.96,6956,279.0032,2024-03-11 14:57:00,177,
278.99,279.17,278.95,279.165,8040,279.0302,2024-03-11 14:58:00,176,
